_5s4_technical_skill,_5s1_recognized_postsecondary,_4s1_nontraditional_program,_3s1_post_program_placement,_2s3_academic_proficiency,_2s2_academic_proficiency,_2s1_academic_proficiency,_1s1_four_year_graduation,fiscal_agent_name,fiscal_agent_aun,school_year
0.8836,0.7086,0.2565,0.7561,0.3423,0.3023,0.46,0.9902,Bucks County Technical High School,122091457,2023-2024
0.9228,0.8156,0.0837,0.9231,0.3108,0.2673,0.3482,0.9593,Butler County AVTS,104101307,2023-2024
0.9091,0.80,0.1282,0.9615,0.404,0.44,0.60,0.9619,Carbon Career & Technical Institute,121131507,2023-2024
0.8053,0.8845,0.1218,0.8462,0.311,0.2696,0.4211,0.9685,Career Institute of Technology,120483007,2023-2024
0.8421,0.7328,0.1298,0.9565,0.5422,0.3165,0.6071,0.9914,Carlisle Area SD,115211103,2023-2024
0.6652,0.9395,0.1655,0.00,0.30,0.2327,0.2938,0.9798,Central Montco Technical High School,123460957,2023-2024
0.8837,0.617,0.11,0.9333,0.4699,0.3818,0.4909,0.92,Central PA Institute of Science & Technology,110141607,2023-2024
0.7944,0.8708,0.1664,0.9327,0.2733,0.2833,0.4089,0.9721,Central Westmoreland CTC,107651207,2023-2024
0.8305,0.8152,0.1862,0.9608,0.329,0.2199,0.4764,0.9637,Chester County IU 24,124000000,2023-2024
0.8108,0.8689,0.1122,0.9254,0.2556,0.2809,0.3889,0.9528,Clarion County Career Center,106161357,2023-2024
0.8515,0.9713,0.0747,0.8842,0.00,0.0769,0.3636,0.9856,Clearfield County CTC,110171607,2023-2024
0.8263,0.5798,0.2528,0.9167,0.3978,0.25,0.3548,0.9958,Columbia-Montour AVTS,116191757,2023-2024
0.6813,0.8889,0.2037,0.875,0.2955,0.2045,0.3864,0.9612,Connellsville Area Career & Technical Center,101266007,2023-2024
0.92,1.00,0.0928,0.9688,0.3654,0.3077,0.5385,1.00,Corry Area SD,105251453,2023-2024
0.8947,0.8082,0.1657,0.9462,0.4813,0.3333,0.5687,0.9613,Crawford County AVTS,105201407,2023-2024
0.8711,0.868,0.1108,0.8435,0.362,0.1878,0.545,0.9809,CTC of Lackawanna County,119354207,2023-2024
0.8316,0.7813,0.1494,0.9295,0.4977,0.3976,0.627,0.9725,Cumberland-Perry AVTS,115211657,2023-2024
0.9277,0.9881,0.2454,0.9333,0.4919,0.2805,0.5385,0.9922,Dauphin County AVTS,115221607,2023-2024
0.8593,0.9434,0.115,0.9499,0.2906,0.2237,0.4305,0.963,Delaware County AVTS,125232407,2023-2024
0.9167,1.00,0.1209,0.80,0.6909,0.60,0.9091,1.00,Delaware Valley SD,120522003,2023-2024
0.8125,0.2469,0.2154,0.9118,0.5429,0.7879,0.7429,0.9512,Dover Area SD,112671803,2023-2024
0.9211,0.8881,0.1545,0.9496,0.4813,0.3633,0.5224,0.9814,Eastern Center for Arts & Technology,123463507,2023-2024
0.8547,0.9302,0.1488,0.9608,0.3583,0.2137,0.5583,0.9589,Eastern Westmoreland CTC,107652207,2023-2024
0.6832,0.9905,0.2089,0.883,0.1533,0.0676,0.1973,0.8947,Erie City SD,105252602,2023-2024
0.8535,0.9712,0.1986,1.00,0.6021,0.5035,0.6517,0.9952,Erie County Technical School,105252807,2023-2024
0.8405,0.9422,0.1609,0.9469,0.2288,0.2155,0.2414,0.9622,Fayette County AVTS,101262507,2023-2024
0.7665,0.7852,0.0576,0.9333,0.2118,0.1302,0.3043,0.9252,Forbes Road CTC,103023807,2023-2024
0.8487,0.7729,0.1196,0.9714,0.5079,0.4504,0.5375,0.9885,Franklin County CTC,112282307,2023-2024
0.7826,0.3333,0.1587,0.9375,0.00,0.00,0.00,1.00,Fulton County AVTS,111292507,2023-2024
0.90,0.4286,0.20,0.00,0.7692,0.7692,0.6667,1.00,Gettysburg Area SD,112013753,2023-2024
0.8839,0.7568,0.1436,0.8271,0.4448,0.3722,0.487,0.9726,Greater Altoona CTC,108070607,2023-2024
0.8901,0.8866,0.1238,0.9677,0.2835,0.2016,0.3511,0.9503,Greater Johnstown AVTS,108112607,2023-2024
0.425,0.9388,0.088,0.7143,0.1404,0.04,0.2982,0.9231,Greater Johnstown SD,108112502,2023-2024
0.8767,0.8723,0.1039,0.9167,0.2727,0.2727,0.4545,0.9891,Greene County CTC,101302607,2023-2024
0.8857,0.9481,0.1441,0.8421,0.2609,0.1039,0.4783,0.9202,Hazleton Area Career Center,118403207,2023-2024
0.708,0.5528,0.2358,0.9146,0.2612,0.2741,0.3731,0.9701,Huntingdon Co CTC,111312607,2023-2024
0.9306,0.90,0.10,0.8384,0.2955,0.3182,0.4198,0.9662,Indiana County Technology Center,128324207,2023-2024
0.7228,0.9903,0.1646,0.8182,0.2658,0.2201,0.3648,0.9636,Jefferson County-DuBois AVTS,106333407,2023-2024
0.8302,0.7358,0.0217,0.80,0.00,0.00,0.00,1.00,Jersey Shore Area SD,117414003,2023-2024
0.8837,0.9485,0.1106,0.9167,0.337,0.25,0.4066,1.00,Keystone Central CTC,110183707,2023-2024
0.9106,0.8365,0.2289,0.8812,0.6047,0.6786,0.6744,0.9939,Lancaster County CTC,113363807,2023-2024
0.80,0.9905,0.1395,1.00,0.2105,0.1579,0.6316,0.9907,Lancaster SD,113364002,2023-2024
0.80,0.7124,0.1598,0.7971,0.3125,0.2411,0.3929,0.9686,Lawrence County CTC,104374207,2023-2024
0.7701,0.8912,0.2204,0.9318,0.3942,0.3273,0.4353,0.9761,Lebanon County CTC,113384307,2023-2024
0.824,0.7552,0.1763,0.9173,0.3282,0.2618,0.4698,0.9506,Lehigh Career & Technical Institute,121393007,2023-2024
0.8235,0.9714,0.1721,0.9649,0.469,0.3497,0.5724,0.9854,Lenape Tech,128034607,2023-2024
0.775,0.988,0.1545,0.9524,0.4321,0.3086,0.3855,0.9878,Lycoming CTC,117414807,2023-2024
0.8148,0.6486,0.0417,0.00,0.2381,0.0465,0.3556,1.00,McKeesport Area Tech Ctr,103026037,2023-2024
0.8588,0.9943,0.1045,0.9302,0.2075,0.1538,0.3019,0.9831,Mercer County Career Center,104435107,2023-2024
0.8889,0.9538,0.1355,0.9215,0.4211,0.3211,0.4456,0.9625,Middle Bucks Institute of Technology,122097007,2023-2024
0.8372,0.5789,0.1393,0.9245,0.4266,0.3121,0.507,0.9561,Mifflin County Academy of Science & Technology,111444307,2023-2024
0.8209,0.8028,0.0833,0.7727,0.225,0.50,0.45,0.9859,Milton Area SD,116495003,2023-2024
0.8467,0.9815,0.0756,0.00,0.1871,0.1189,0.3143,0.9806,Mon Valley CTC,101634207,2023-2024
0.9358,0.9815,0.1961,0.904,0.4343,0.3504,0.5847,0.9852,Monroe Career & Tech Inst,120454507,2023-2024
0.9178,1.00,0.1684,1.00,0.4384,0.3266,0.5099,0.9831,North Montco Tech Career Center,123465507,2023-2024
0.8703,0.8945,0.0971,0.9048,0.2963,0.2593,0.4444,0.9703,Northern Tier Career Center,117080607,2023-2024
0.8257,0.7436,0.095,1.00,0.2371,0.1531,0.268,0.9658,Northern Westmoreland CTC,107656407,2023-2024
0.8393,0.9231,0.0345,0.8194,0.1731,0.2885,0.4038,0.875,Northumberland County AVTS,116495207,2023-2024
0.8095,0.7917,0.2283,0.9655,0.3333,0.3404,0.4583,0.9796,Octorara Area SD,124156503,2023-2024
0.9528,0.8276,0.1566,0.9574,0.3511,0.2657,0.4664,0.9599,Parkway West CTC,103027307,2023-2024
0.6246,0.8161,0.337,0.8889,0.2064,0.1466,0.4137,0.9374,Philadelphia City SD,126515001,2023-2024
0.6203,0.9904,0.1124,1.00,0.2083,0.20,0.4947,0.9623,Pittsburgh SD,102027451,2023-2024
0.7347,0.8406,0.1134,0.9796,0.4386,0.2456,0.5789,1.00,Pottstown SD,123466403,2023-2024
0.7939,0.9419,0.2457,0.8636,0.1718,0.1752,0.4145,0.9395,Reading-Muhlenberg CTC,114067107,2023-2024
0.9545,0.9167,0.0833,1.00,0.00,0.00,0.00,1.00,Saint Marys Area SD,109248003,2023-2024
0.9293,0.8632,0.1353,0.9636,0.3182,0.2254,0.3276,0.9626,Schuylkill Technology Centers,129546907,2023-2024
0.5385,0.04,0.0667,0.8718,0.4216,0.3069,0.4712,0.9455,Seneca Highlands IU 9,109000000,2023-2024
0.8406,0.9211,0.1064,0.8125,0.4679,0.3462,0.5385,0.956,Somerset County Technology Center,108567807,2023-2024
0.977,0.9167,0.0204,0.8462,0.8125,0.8125,0.875,1.00,State College Area SD,110148002,2023-2024
0.8405,0.9686,0.1301,1.00,0.3757,0.2723,0.4521,0.9845,Steel Center AVTS,103028807,2023-2024
0.8901,0.9347,0.1128,0.9349,0.4528,0.40,0.5094,0.9964,SUN Area CTC,116606707,2023-2024
0.7885,0.7339,0.1095,1.00,0.2475,0.202,0.402,0.9328,Susquehanna County CTC,119584707,2023-2024
0.8219,0.5063,0.2209,1.00,0.569,0.2542,0.6034,1.00,Tunkhannock Area SD,118667503,2023-2024
0.9333,1.00,0.20,1.00,0.90,0.50,0.70,1.00,Tyrone Area SD,108078003,2023-2024
0.5625,0.9592,0.1037,0.8842,0.325,0.1833,0.4622,0.9057,Universal Audenreid CHS,126519434,2023-2024
0.8299,1.00,0.1726,0.907,0.3941,0.2242,0.4551,0.9845,Upper Bucks County AVTS,122099007,2023-2024
1.00,0.3333,0.00,1.00,0.3333,0.3333,0.3333,0.75,Upper Dauphin Area SD,115229003,2023-2024
0.8827,0.9345,0.1413,0.8333,0.3952,0.3952,0.506,0.988,Venango Technology Center,106619107,2023-2024
0.90,0.9882,0.184,0.9545,0.6053,0.4737,0.6364,1.00,Wallenpaupack Area SD,119648303,2023-2024
0.7912,0.8587,0.1618,0.8571,0.3086,0.3704,0.525,0.9894,Warren County AVTS,105628007,2023-2024
0.8824,1.00,0.0769,1.00,0.9091,1.00,1.00,1.00,Wayne Highlands SD,119648703,2023-2024
0.75,0.3571,0.10,1.00,0.3871,0.4516,0.6452,0.9333,Wellsboro Area SD,117598503,2023-2024
0.8033,0.973,0.1311,0.9231,0.1467,0.0933,0.1538,0.9861,West Side AVTS,118408707,2023-2024
0.9103,0.6585,0.213,0.9357,0.4602,0.3981,0.5956,0.9468,Western Area CTC,101638907,2023-2024
0.9321,0.9939,0.1611,0.9333,0.479,0.4286,0.521,0.9818,Western Montgomery CTC,123469007,2023-2024
0.8029,0.7633,0.199,0.9167,0.1958,0.1245,0.2685,0.9135,Wilkes-Barre AVTS,118408607,2023-2024
0.8177,0.8984,0.1811,0.9339,0.3077,0.5669,0.6488,0.9839,Williamsport Area SD,117417202,2023-2024
0.8701,0.8509,0.1542,0.9745,0.2775,0.2049,0.4162,0.9905,York Co School of Technology,112679107,2023-2024
0.00,0.8527,0.1131,0.974,,0.3358,0.2941,0.9726,A W Beattie Career Center,103020407,2020-2021
0.802,0.757,0.1489,0.00,,0.00,0.00,1.00,Adams County Technical Institute,112015106,2020-2021
0.7863,0.4516,0.062,0.8824,,0.40,0.4138,0.929,Admiral Peary AVTS,108110307,2020-2021
1.00,0.5936,0.1181,0.95,,0.2619,0.4545,0.9689,Beaver County AVTS,127041307,2020-2021
1.00,0.6471,0.1765,1.00,,0.561,0.381,0.9808,Bedford County Technical Center,108051307,2020-2021
0.00,0.2857,0.1282,0.9603,,0.4914,0.4444,0.9559,Berks CTC,114060557,2020-2021
0.00,0.00,0.00,1.00,,0.00,1.00,1.00,Bermudian Springs SD,112011103,2020-2021
0.00,0.50,0.125,0.8735,,0.4634,0.2727,0.9178,Bethlehem AVTS,120481107,2020-2021
1.00,0.7458,0.1011,1.00,,0.7273,0.3077,0.9836,Bradford Area SD,109420803,2020-2021
1.00,0.7731,0.2421,0.88,,0.5224,0.00,0.9852,Bucks County Technical High School,122091457,2020-2021
0.8889,0.6471,0.1171,0.85,,0.5126,0.40,0.961,Butler County AVTS,104101307,2020-2021
0.9333,0.6304,0.1176,0.7857,,0.4891,0.40,1.00,Carbon Career & Technical Institute,121131507,2020-2021
0.6994,0.6705,0.1459,1.00,,0.3553,0.4483,0.9643,Career Institute of Technology,120483007,2020-2021
0.00,0.4667,0.0748,0.98,,0.6604,0.00,0.984,Carlisle Area SD,115211103,2020-2021
0.00,0.4082,0.1864,0.7333,,0.3333,0.4286,0.962,Center for Technical Studies of Montgomery County,123460957,2020-2021
0.8785,0.4825,0.0906,0.8333,,0.5862,0.6076,0.9643,Central PA Institute of Science & Technology,110141607,2020-2021
0.00,0.5304,0.1202,0.9133,,0.40,0.5758,0.9662,Central Westmoreland CTC,107651207,2020-2021
0.8056,0.487,0.1765,0.9078,,0.3643,0.2083,0.9582,Chester County IU 24,124000000,2020-2021
0.7802,0.8812,0.1244,0.9265,,0.5313,0.375,0.9878,Clarion County Career Center,106161357,2020-2021
0.767,0.8678,0.0648,0.9796,,0.25,0.00,0.9769,Clearfield County CTC,110171607,2020-2021
0.7464,0.5671,0.2961,0.7727,,0.60,0.25,0.9464,Columbia-Montour AVTS,116191757,2020-2021
0.00,0.9032,0.2353,0.8929,,0.1667,0.00,0.9362,Connellsville Area Career & Technical Center,101266007,2020-2021
0.6875,0.8627,0.0734,0.9565,,0.2115,0.3519,1.00,Corry Area SD,105251453,2020-2021
1.00,0.6204,0.1225,0.8148,,0.5094,0.4921,1.00,Crawford County AVTS,105201407,2020-2021
0.00,0.8548,0.0894,0.8257,,0.3469,0.3846,0.9831,CTC of Lackawanna County,119354207,2020-2021
0.7727,0.6841,0.1334,0.903,,0.50,0.5763,0.9846,Cumberland-Perry AVTS,115211657,2020-2021
1.00,0.8929,0.2014,0.8932,,0.5229,0.00,0.9453,Dauphin County AVTS,115221607,2020-2021
0.7841,0.8421,0.0769,0.9676,,0.2533,0.3696,0.9257,Delaware County AVTS,125232407,2020-2021
0.625,1.00,0.0619,0.8333,,0.7742,1.00,0.9804,Delaware Valley SD,120522003,2020-2021
0.7727,0.1481,0.0909,1.00,,0.90,1.00,1.00,Dover Area SD,112671803,2020-2021
0.00,0.9552,0.1194,0.9456,,0.4889,0.4359,0.9646,Eastern Center for Arts & Technology,123463507,2020-2021
0.9091,0.7431,0.1631,0.8926,,0.6154,1.00,0.972,Eastern Westmoreland CTC,107652207,2020-2021
1.00,0.835,0.1762,0.9315,,0.2519,0.0667,0.9477,Erie City SD,105252602,2020-2021
1.00,0.6878,0.1825,0.875,,0.7263,0.6667,0.9679,Erie County Technical School,105252807,2020-2021
0.717,0.6748,0.1554,0.9911,,0.3909,0.3684,0.9595,Fayette County AVTS,101262507,2020-2021
0.00,0.5775,0.0667,0.9524,,0.3148,0.5455,0.9416,Forbes Road CTC,103023807,2020-2021
1.00,0.6099,0.0877,0.7333,,0.5796,0.5391,0.973,Franklin County CTC,112282307,2020-2021
0.6296,0.963,0.0508,0.9412,,0.5714,0.8824,0.9286,Fulton County AVTS,111292507,2020-2021
0.80,0.00,0.0968,0.9545,,0.7083,0.60,1.00,Gettysburg Area SD,112013753,2020-2021
0.00,0.619,0.1504,0.9359,,0.4528,0.5385,0.9379,Greater Altoona CTC,108070607,2020-2021
0.7841,0.9823,0.0497,0.7143,,0.3425,0.2759,0.9737,Greater Johnstown AVTS,108112607,2020-2021
0.551,0.619,0.0894,0.90,,0.1111,0.4375,0.9406,Greater Johnstown SD,108112502,2020-2021
0.7143,0.7551,0.15,0.75,,0.125,0.125,0.9259,Greene County CTC,101302607,2020-2021
0.00,0.8722,0.1362,0.60,,0.1791,0.3148,0.9573,Hazleton Area Career Center,118403207,2020-2021
0.7094,0.551,0.163,0.9556,,0.2921,0.2903,0.9333,Huntingdon Co CTC,111312607,2020-2021
0.9407,0.8227,0.0991,0.9231,,0.3517,0.4521,0.9391,Indiana County Technology Center,128324207,2020-2021
0.5957,0.3368,0.1847,0.7692,,0.5143,0.00,0.9694,Jefferson County-DuBois AVTS,106333407,2020-2021
0.8909,0.9649,0.0674,0.00,,0.5581,0.5814,1.00,Jersey Shore Area SD,117414003,2020-2021
0.8431,0.2319,0.024,0.9333,,0.5263,0.00,0.9783,Keystone Central CTC,110183707,2020-2021
0.75,0.87,0.2308,0.8459,,0.7381,0.7667,0.9896,Lancaster County CTC,113363807,2020-2021
0.00,0.9604,0.1585,1.00,,0.1429,0.00,1.00,Lancaster SD,113364002,2020-2021
0.8478,0.4375,0.1897,0.875,,0.3125,0.40,0.9333,Lawrence County CTC,104374207,2020-2021
0.00,0.3735,0.1986,0.6667,,0.5224,0.4932,0.9604,Lebanon County CTC,113384307,2020-2021
1.00,0.5383,0.1794,0.8645,,0.3597,0.3778,0.9439,Lehigh Career & Technical Institute,121393007,2020-2021
0.881,0.9765,0.1415,0.9435,,0.6833,0.00,0.9883,Lenape Tech,128034607,2020-2021
0.7391,0.7703,0.1239,1.00,,0.4737,0.1622,0.9655,Lycoming CTC,117414807,2020-2021
0.00,0.6098,0.125,0.8451,,0.0833,0.00,0.9444,McKeesport Area Tech Ctr,103026037,2020-2021
0.00,0.9034,0.0718,0.7264,,0.3958,0.10,0.9767,Mercer County Career Center,104435107,2020-2021
0.8696,0.8839,0.1064,0.9156,,0.4877,0.7818,0.9533,Middle Bucks Institute of Technology,122097007,2020-2021
0.8427,0.8788,0.0776,0.8462,,0.30,0.3333,0.9538,Mifflin County Academy of Science & Technology,111444307,2020-2021
0.8718,0.2727,0.093,1.00,,0.80,0.60,0.9643,Milton Area SD,116495003,2020-2021
0.00,0.9225,0.055,0.881,,0.4085,0.25,0.9615,Mon Valley CTC,101634207,2020-2021
0.7751,0.8609,0.1562,0.8588,,0.4962,0.6538,0.9805,Monroe Career & Tech Inst,120454507,2020-2021
0.7735,0.7233,0.1247,0.7619,,0.4693,0.5333,0.9259,North Montco Tech Career Center,123465507,2020-2021
0.00,0.709,0.1469,0.8333,,0.5333,0.3333,0.978,Northern Tier Career Center,117080607,2020-2021
0.7614,0.8416,0.0749,0.9868,,0.2099,0.50,0.9756,Northern Westmoreland CTC,107656407,2020-2021
0.9697,1.00,0.1125,0.79,,0.3143,0.40,0.9574,Northumberland County AVTS,116495207,2020-2021
0.8409,0.8571,0.193,0.40,,0.60,1.00,0.902,Octorara Area SD,124156503,2020-2021
0.00,0.7821,0.1361,1.00,,0.3917,0.3704,0.9627,Parkway West CTC,103027307,2020-2021
0.5179,0.453,0.2882,0.8467,,0.1161,0.255,0.9518,Philadelphia City SD,126515001,2020-2021
0.00,0.9247,0.1095,0.809,,0.2766,0.12,0.8921,Pittsburgh SD,102027451,2020-2021
0.6286,0.6176,0.1325,1.00,,0.3714,0.5263,0.9125,Pottstown SD,123466403,2020-2021
0.00,0.6437,0.2194,0.6364,,0.2425,0.00,0.947,Reading-Muhlenberg CTC,114067107,2020-2021
0.00,0.90,0.0976,1.00,,0.00,0.00,1.00,Saint Marys Area SD,109248003,2020-2021
0.8162,0.6465,0.0882,0.8704,,0.2722,0.2885,0.9896,Schuylkill Technology Centers,129546907,2020-2021
0.6627,0.6531,0.1029,0.7869,,0.4091,0.3529,0.9894,Seneca Highlands IU 9,109000000,2020-2021
0.8899,0.6667,0.0725,0.9091,,0.4138,0.4783,0.9741,Somerset County Technology Center,108567807,2020-2021
0.00,0.50,0.1864,0.9412,,0.9104,0.00,0.9633,State College Area SD,110148002,2020-2021
0.92,0.6369,0.0667,0.6667,,0.344,0.40,0.9524,Steel Center AVTS,103028807,2020-2021
0.9643,0.7667,0.1255,0.8636,,0.25,0.1765,0.9842,SUN Area CTC,116606707,2020-2021
0.9341,0.6154,0.0843,0.00,,0.3966,0.4324,0.9756,Susquehanna County CTC,119584707,2020-2021
1.00,0.00,0.4118,0.9375,,0.80,0.00,1.00,Tunkhannock Area SD,118667503,2020-2021
0.80,0.80,0.2439,0.8889,,1.00,0.00,1.00,Tyrone Area SD,108078003,2020-2021
0.00,0.7083,0.1271,0.92,,0.2338,0.2857,0.8208,Universal Audenreid CHS,126519434,2020-2021
0.9101,0.9394,0.1646,0.8596,,0.4459,0.2857,0.9167,Upper Bucks County AVTS,122099007,2020-2021
0.00,0.00,0.20,0.9459,,1.00,0.00,1.00,Upper Dauphin Area SD,115229003,2020-2021
0.00,0.9032,0.1981,0.8205,,0.3711,0.3538,0.9359,Venango Technology Center,106619107,2020-2021
0.90,0.6719,0.0889,0.80,,0.7941,0.7042,0.9804,Wallenpaupack Area SD,119648303,2020-2021
0.8391,0.8617,0.0963,0.9444,,0.4217,0.3976,0.9889,Warren County AVTS,105628007,2020-2021
0.9286,1.00,0.05,1.00,,1.00,0.00,1.00,Wayne Highlands SD,119648703,2020-2021
0.8462,0.1538,0.00,0.80,,0.00,0.00,0.913,Wellsboro Area SD,117598503,2020-2021
1.00,0.9722,0.1234,0.7838,,0.2857,1.00,0.9052,West Side AVTS,118408707,2020-2021
0.7083,0.8116,0.1505,0.8947,,0.4766,0.3333,0.9797,Western Area CTC,101638907,2020-2021
0.8943,0.984,0.1099,0.85,,0.4868,0.5682,0.9416,Western Center for Technical Studies,123469007,2020-2021
0.00,0.4346,0.1699,0.6667,,0.3267,0.20,0.9444,Wilkes-Barre AVTS,118408607,2020-2021
0.839,0.4129,0.1517,0.00,,0.7862,0.00,0.983,Williamsport Area SD,117417202,2020-2021
0.8662,0.5594,0.1522,0.9357,,0.5124,0.00,0.9827,York Co School of Technology,112679107,2020-2021
0.7586,0.3143,0.2632,1.00,,0.5714,0.3077,1.00,Tunkhannock Area SD,118667503,2021-2022
0.9375,0.8421,0.425,1.00,,0.7143,0.8571,1.00,Tyrone Area SD,108078003,2021-2022
0.4603,1.00,0.1074,0.7895,,0.1468,0.3761,0.7119,Universal Audenreid CHS,126519434,2021-2022
0.9126,0.9649,0.1413,0.9016,,0.2377,0.3383,0.9789,Upper Bucks County AVTS,122099007,2021-2022
0.7407,0.00,0.00,0.00,,0.60,0.6111,1.00,Upper Dauphin Area SD,115229003,2021-2022
0.7218,0.9726,0.2205,0.8981,,0.229,0.3803,0.9549,Venango Technology Center,106619107,2021-2022
0.9492,0.65,0.1205,1.00,,0.8966,0.50,0.9844,Wallenpaupack Area SD,119648303,2021-2022
0.8088,0.7917,0.1009,1.00,,0.3378,0.4267,0.9792,Warren County AVTS,105628007,2021-2022
0.9167,0.7692,0.125,1.00,,1.00,0.80,1.00,Wayne Highlands SD,119648703,2021-2022
0.8333,0.2308,0.10,1.00,,0.375,0.625,1.00,Wellsboro Area SD,117598503,2021-2022
0.8182,1.00,0.1119,0.7586,,0.0649,0.1392,0.9455,West Side AVTS,118408707,2021-2022
0.8521,0.1429,0.1434,0.7821,,0.3516,0.5229,0.9595,Western Area CTC,101638907,2021-2022
